"p1";"Var.2";"РќР°Р·РІР°РЅРёРµ С„РѕРЅРґР°";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73"
"/funds/166/";"";"XXII век";"Брокеркредитсервис";"";"открытый";"15.03.2021";"18.11.2003";"сформирован";"рыночных финансовых инструментов";"акции";"Иностранные активы";"15.03.2021";"833.81";"1 518";"10 000";"18.11.2003";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"Иностранные активы";"Обухов Денис";"3.90% от СЧА";"5.20% от СЧА";"-7.82%";"3.54%";"1.42%";"90.10%";"113.16%";"123.24%";"197.59";"487.45";"418.79";"646.12";"641.36";"626.59";"26.02.2021";"0.319";"0.316";"6.39%";"-0.904";"0.347";"6.36";"-7.88%";"-7.82%";"3.54%";"1.42%";"90.10%";"113.16%";"123.24%";"-7.82";"3.54";"1.42";"90.10";"113.16";"123.24";"26.02.2021";"0.319";"0.316";"6.39%";"-0.904";"0.347";"6.36%";"-7.88%";"833.81";"90.10%";"646.12";"10 000";"—
                                                                            (Рос. активы";"18.11.2003";"1 518";"Обухов Денис";"3.90% от СЧА";"5.20% от СЧА"
"/funds/266/";"";"АК БАРС - Акции
                                                        
                                                            можно купить online";"АК БАРС КАПИТАЛ";"";"открытый";"15.03.2021";"26.12.2003";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"4.32";"70";"3 000";"26.12.2003";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"Кокорев Олег Вячеславович";"1.50% от СЧА";"2.30% от СЧА";"2.75%";"8.99%";"7.14%";"48.91%";"77.78%";"136.85%";"0.02";"0.03";"0.02";"0.09";"-0.16";"-0.39";"26.02.2021";"0.241";"0.251";"4.33%";"-0.167";"0.850";"82.74";"-5.59%";"2.75%";"8.99%";"7.14%";"48.91%";"77.78%";"136.85%";"2.75";"8.99";"7.14";"48.91";"77.78";"136.85";"26.02.2021";"0.241";"0.251";"4.33%";"-0.167";"0.850";"82.74%";"-5.59%";"4.32";"48.91%";"0.09";"3 000";"—
                                                                            (СЧА";"26.12.2003";"70";"Кокорев Олег Вячеславович";"1.50% от СЧА";"2.30% от СЧА"
"/funds/350/";"";"АК БАРС - Консервативный
                                                        
                                                            можно купить online";"АК БАРС КАПИТАЛ";"";"открытый";"15.03.2021";"28.03.2005";"сформирован";"рыночных финансовых инструментов";"облигации";"";"15.03.2021";"137.42";"199";"1 000";"28.03.2005";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"облигации";"сформирован";"рыночных финансовых инструментов";"";"Булатов Марс Кабирович";"1.00% от СЧА";"1.65% от СЧА";"-0.25%";"-0.03%";"-0.38%";"8.23%";"14.20%";"29.01%";"4.29";"21.56";"16.82";"94.83";"-10.56";"19.25";"26.02.2021";"-0.016";"-0.016";"1.16%";"-4.178";"0.067";"7.18";"-1.52%";"-0.25%";"-0.03%";"-0.38%";"8.23%";"14.20%";"29.01%";"-0.25";"-0.03";"-0.38";"8.23";"14.20";"29.01";"26.02.2021";"-0.016";"-0.016";"1.16%";"-4.178";"0.067";"7.18%";"-1.52%";"137.42";"8.23%";"94.83";"1 000";"—
                                                                            (Рос. активы";"28.03.2005";"199";"Булатов Марс Кабирович";"1.00% от СЧА";"1.65% от СЧА"
"/funds/334/";"";"АК БАРС Индексный
                                                        
                                                            можно купить online";"АК БАРС КАПИТАЛ";"";"открытый";"15.03.2021";"28.03.2005";"сформирован";"рыночных финансовых инструментов";"индексный";"";"15.03.2021";"24.68";"130";"3 000";"28.03.2005";"Без рейтинга*";"открытый";"индексный";"сформирован";"рыночных финансовых инструментов";"";"Кокорев Олег Вячеславович";"1.50% от СЧА";"2.30% от СЧА";"3.13%";"9.92%";"8.26%";"52.65%";"74.42%";"122.98%";"< 0.01";"1.50";"1.50";"0.30";"-3.52";"-28.41";"26.02.2021";"0.201";"0.223";"4.67%";"0.157";"0.964";"91.72";"-6.23%";"3.13%";"9.92%";"8.26%";"52.65%";"74.42%";"122.98%";"3.13";"9.92";"8.26";"52.65";"74.42";"122.98";"26.02.2021";"0.201";"0.223";"4.67%";"0.157";"0.964";"91.72%";"-6.23%";"24.68";"52.65%";"0.30";"3 000";"Без рейтинга*";"28.03.2005";"130";"Кокорев Олег Вячеславович";"1.50% от СЧА";"2.30% от СЧА"
"/funds/1055/";"";"АТОН - ИНФРАСТРУКТУРА";"Атон-менеджмент";"";"открытый";"15.03.2021";"10.10.2007";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"180.19";"621";"1 000";"10.10.2007";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"Ацканов Исуф Алимович";"4.20% от СЧА";"6.70% от СЧА";"4.14%";"12.57%";"10.24%";"65.29%";"76.76%";"158.82%";"-0.08";"5.18";"3.23";"-108.13";"-166.44";"-51.22";"26.02.2021";"0.200";"0.200";"4.91%";"0.347";"1.000";"89.16";"-6.58%";"4.14%";"12.57%";"10.24%";"65.29%";"76.76%";"158.82%";"4.14";"12.57";"10.24";"65.29";"76.76";"158.82";"26.02.2021";"0.200";"0.200";"4.91%";"0.347";"1.000";"89.16%";"-6.58%";"180.19";"65.29%";"-108.13";"1 000";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"10.10.2007";"621";"Ацканов Исуф Алимович";"4.20% от СЧА";"6.70% от СЧА"
"/funds/46/";"";"Агидель - акции
                                                        
                                                            можно купить online";"Агидель";"";"открытый";"15.03.2021";"15.12.2000";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"38.11";"138";"5 000";"15.12.2000";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"";"1.50% от СЧА";"2.30% от СЧА";"1.19%";"7.55%";"5.44%";"47.98%";"53.35%";"166.25%";"0.15";"0.20";"0.23";"0.09";"-25.90";"-6.93";"26.02.2021";"0.130";"0.126";"5.18%";"0.040";"0.996";"79.61";"-7.31%";"1.19%";"7.55%";"5.44%";"47.98%";"53.35%";"166.25%";"1.19";"7.55";"5.44";"47.98";"53.35";"166.25";"26.02.2021";"0.130";"0.126";"5.18%";"0.040";"0.996";"79.61%";"-7.31%";"38.11";"47.98%";"0.09";"5 000";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"15.12.2000";"138";"";"1.50% от СЧА";"2.30% от СЧА"
"/funds/2247/";"";"Активные инвестиции";"Инвест-Урал";"";"открытый";"15.03.2021";"21.09.2011";"сформирован";"рыночных финансовых инструментов";"облигации";"";"15.03.2021";"4.46";"1";"50 000";"21.09.2011";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"облигации";"сформирован";"рыночных финансовых инструментов";"";"";"1.50% от СЧА";"6.85% от СЧА";"-0.91%";"-1.20%";"-1.30%";"5.80%";"9.84%";"32.37%";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"-0.01";"26.02.2021";"-0.093";"-0.109";"1.53%";"-3.951";"0.162";"23.90";"-2.25%";"-0.91%";"-1.20%";"-1.30%";"5.80%";"9.84%";"32.37%";"-0.91";"-1.20";"-1.30";"5.80";"9.84";"32.37";"26.02.2021";"-0.093";"-0.109";"1.53%";"-3.951";"0.162";"23.90%";"-2.25%";"4.46";"5.80%";"< 0.01";"50 000";"—
                                                                            (СЧА";"21.09.2011";"1";"";"1.50% от СЧА";"6.85% от СЧА"
"/funds/708/";"";"Аллтек - Биржевой индекс акций";"Аллтек";"";"открытый";"15.03.2021";"11.12.2006";"в стадии прекращения";"рыночных финансовых инструментов";"индексный";"";"15.03.2021";"7.23";"5";"100 000";"11.12.2006";"Без рейтинга*";"открытый";"индексный";"в стадии прекращения";"рыночных финансовых инструментов";"";"";"0.50% от СЧА";"1.60% от СЧА";"-0.36%";"9.14%";"7.87%";"45.76%";"61.20%";"107.23%";"< 0.01";"< 0.01";"< 0.01";"-0.24";"-0.14";"0.29";"31.12.2020";"0.171";"0.182";"5.46%";"0.449";"1.087";"91.03";"-7.49%";"-0.36%";"9.14%";"7.87%";"45.76%";"61.20%";"107.23%";"-0.36";"9.14";"7.87";"45.76";"61.20";"107.23";"31.12.2020";"0.171";"0.182";"5.46%";"0.449";"1.087";"91.03%";"-7.49%";"7.23";"45.76%";"-0.24";"100 000";"Без рейтинга*";"11.12.2006";"5";"";"0.50% от СЧА";"1.60% от СЧА"
"/funds/2207/";"";"Альтернативный процент";"Инвест-Урал";"";"открытый";"15.03.2021";"29.07.2011";"сформирован";"рыночных финансовых инструментов";"облигации";"";"15.03.2021";"17.37";"1";"50 000";"29.07.2011";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"облигации";"сформирован";"рыночных финансовых инструментов";"";"";"1.00% от СЧА";"5.00% от СЧА";"-0.70%";"-1.49%";"-1.37%";"9.12%";"18.06%";"47.29%";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"26.02.2021";"0.028";"0.030";"1.84%";"-3.620";"0.197";"24.68";"-2.56%";"-0.70%";"-1.49%";"-1.37%";"9.12%";"18.06%";"47.29%";"-0.70";"-1.49";"-1.37";"9.12";"18.06";"47.29";"26.02.2021";"0.028";"0.030";"1.84%";"-3.620";"0.197";"24.68%";"-2.56%";"17.37";"9.12%";"< 0.01";"50 000";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"29.07.2011";"1";"";"1.00% от СЧА";"5.00% от СЧА"
"/funds/543/";"";"Альфа-Капитал Баланс";"Альфа-Капитал";"";"открытый";"15.03.2021";"15.05.2006";"сформирован";"рыночных финансовых инструментов";"смешанный";"";"15.03.2021";"24 980.99";"27 369";"100";"15.05.2006";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"смешанный";"сформирован";"рыночных финансовых инструментов";"";"Харин Эдуард";"2.80% от СЧА";"3.30% от СЧА";"4.50%";"11.38%";"9.37%";"44.07%";"62.03%";"97.56%";"1 301.42";"4 099.24";"3 228.91";"5 301.01";"18 582.59";"17 626.44";"26.02.2021";"0.238";"0.209";"3.11%";"-1.320";"0.630";"88.43";"-3.92%";"4.50%";"11.38%";"9.37%";"44.07%";"62.03%";"97.56%";"4.50";"11.38";"9.37";"44.07";"62.03";"97.56";"26.02.2021";"0.238";"0.209";"3.11%";"-1.320";"0.630";"88.43%";"-3.92%";"24 980.99";"44.07%";"5 301.01";"100";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"15.05.2006";"27 369";"Харин Эдуард";"2.80% от СЧА";"3.30% от СЧА"
