Дата;Россия Composite Pmi
30.11.2022;50,00
31.10.2022;45,80
30.09.2022;51,50
31.08.2022;50,40
31.07.2022;52,20
30.06.2022;50,40
31.05.2022;48,20
30.04.2022;44,40
31.03.2022;37,70
28.02.2022;50,80
31.01.2022;50,30
31.12.2021;50,20
30.11.2021;48,40
31.10.2021;49,50
30.09.2021;50,50
31.08.2021;48,20
31.07.2021;51,70
30.06.2021;55,00
31.05.2021;56,20
30.04.2021;54,00
31.03.2021;54,60
28.02.2021;52,60
31.01.2021;52,30
31.12.2020;48,30
30.11.2020;47,80
31.10.2020;47,10
30.09.2020;53,70
31.08.2020;57,30
31.07.2020;56,80
30.06.2020;48,90
31.05.2020;35,00
30.04.2020;13,90
31.03.2020;39,50
29.02.2020;50,90
31.01.2020;52,60
31.12.2019;51,80
30.11.2019;52,90
31.10.2019;53,30
30.09.2019;51,40
31.08.2019;51,50
31.07.2019;50,20
30.06.2019;49,20
31.05.2019;51,50
30.04.2019;53,00
31.03.2019;54,60
28.02.2019;54,10
31.01.2019;53,60
31.12.2018;53,90
30.11.2018;55,00
31.10.2018;55,80
30.09.2018;53,50
31.08.2018;52,10
31.07.2018;51,70
30.06.2018;52,00
31.05.2018;53,40
30.04.2018;54,90
31.03.2018;53,20
28.02.2018;55,20
31.01.2018;54,80
31.12.2017;56,00
30.11.2017;56,30
31.10.2017;53,20
30.09.2017;54,80
31.08.2017;54,20
31.07.2017;53,40
30.06.2017;54,80
31.05.2017;56,00
30.04.2017;55,30
31.03.2017;56,30
28.02.2017;55,40
31.01.2017;58,30
31.12.2016;56,60
30.11.2016;55,80
31.10.2016;53,70
30.09.2016;53,10
31.08.2016;52,90
31.07.2016;53,50
30.06.2016;53,50
31.05.2016;51,20
30.04.2016;51,30
31.03.2016;50,80
29.02.2016;50,60
31.01.2016;48,40
31.12.2015;47,80
30.11.2015;50,50
31.10.2015;49,00
30.09.2015;50,90
31.08.2015;49,30
31.07.2015;50,90
30.06.2015;49,50
31.05.2015;51,60
30.04.2015;50,80
31.03.2015;46,80
28.02.2015;44,70
31.01.2015;45,60
31.12.2014;47,20
30.11.2014;47,60
31.10.2014;49,10
30.09.2014;50,90
31.08.2014;51,10
31.07.2014;51,30
30.06.2014;50,10
31.05.2014;47,10
30.04.2014;47,60
31.03.2014;47,80
28.02.2014;50,20
31.01.2014;49,60
31.12.2013;52,50
